rushingId,playerId,yards,touchdowns,longest,yardsPerAtt,yardsPerGame
BushRe00Rushing,BushRe00,28,0,9,3.5,5.6
ColeDe00Rushing,ColeDe00,32,0,19,4,2.3
CookBr00Rushing,CookBr00,18,0,11,2.3,1.1
FreeJo00Rushing,FreeJo00,24,0,9,3,24
JackTa00Rushing,JackTa00,-8,0,-1,-1,-2
AndeDe00Rushing,AndeDe00,-2,0,2,-0.3,-0.7
DaviAu00Rushing,DaviAu00,33,0,17,4.7,11
FowlJa00Rushing,FowlJa00,13,1,3,1.9,0.8
BrowPh00Rushing,BrowPh00,38,0,14,6.3,2.7
DaniB.00Rushing,DaniB.00,6,0,6,1,0.8
GranCo00Rushing,GranCo00,2,0,11,0.3,0.3
LineZa01Rushing,LineZa01,10,2,3,1.7,0.6
MannPe00Rushing,MannPe00,-6,0,-1,-1,-0.6
MillBr02Rushing,MillBr02,14,1,4,2.3,0.9
PierBe00Rushing,PierBe00,11,0,4,1.8,1.6
ProsJa00Rushing,ProsJa00,33,0,16,5.5,2.1
SancMa00Rushing,SancMa00,22,0,11,3.7,5.5
TateGo00Rushing,TateGo00,41,0,15,6.8,2.6
YateT.00Rushing,YateT.00,0,0,7,0,0
YounDa01Rushing,YounDa01,10,0,5,1.7,0.6
BryaMa00Rushing,BryaMa00,37,1,13,7.4,3.4
DunbLa00Rushing,DunbLa00,67,0,45,13.4,16.8
GaroJi00Rushing,GaroJi00,-5,0,-1,-1,-1
HarvPe00Rushing,HarvPe00,31,0,9,6.2,6.2
JoneLa02Rushing,JoneLa02,-5,0,0,-1,-0.7
JoneMa02Rushing,JoneMa02,33,0,30,6.6,2.1
LeexMa00Rushing,LeexMa00,38,0,12,7.6,3.8
LockTy00Rushing,LockTy00,20,0,8,4,1.3
MallRy00Rushing,MallRy00,15,1,6,3,1.9
RainBo00Rushing,RainBo00,18,0,7,3.6,1.1
TiptZu01Rushing,TiptZu01,20,0,7,4,2
WilsAl02Rushing,WilsAl02,26,0,8,5.2,1.9
WrigKe01Rushing,WrigKe01,17,0,13,3.4,1.7
BenjTr00Rushing,BenjTr00,12,0,10,3,0.8
BrowMa03Rushing,BrowMa03,17,0,13,4.3,17
BurkRe00Rushing,BurkRe00,4,0,2,1,0.3
BurtMi00Rushing,BurtMi00,2,0,2,0.5,0.1
GinnTe00Rushing,GinnTe00,60,0,43,15,4
